,name,author,numberOfPages,price
102,Аэропорт: роман,Артур Хейли,608,311 ₽
103,Великий Гэтсби,Френсис Скотт Фицджеральд,256,472 ₽
104,Фауст,Иоганн Вольфганг фон Гёте,544,206 ₽
105,,,496,600 ₽
106,Собачье сердце,Михаил Булгаков,352,189 ₽
107,Приют Грез,Эрих Ремарк,224,224 ₽
108,Замок Броуди,Арчибальд Кронин,608,779 ₽
109,Мифы Древней Индии,Эдуард Темкин,352,432 ₽
110,Мельница на Флоссе,Джордж Элиот,672,790 ₽
111,Война и мир. Том I-II. Том III-IV (комплект из 2 книг),Лев Толстой,,534 ₽
112,"Сказка сказок, или Забава для малых ребят",Джамбаттиста Базиле,640,790 ₽
113,Камера обскура,Владимир Набоков,256,481 ₽
114,Цыган,Анатолий Калинин,704,813 ₽
115,Искра жизни,Эрих Ремарк,480,285 ₽
116,Сорок пять,Александр Дюма (отец),800,790 ₽
117,Проклятые короли: Железный король. Узница Шато-Гайара. Яд и корона,Морис Дрюон,720,892 ₽
118,Фауст. Страдания юного Вертера,Иоганн Вольфганг фон Гёте,880,848 ₽
119,На вилле,Уильям Сомерсет Моэм,160,216 ₽
120,Степной волк,Герман Гессе,288,256 ₽
121,Беседа с богом странствий,Рюноскэ Акутагава,416,216 ₽
122,Тошнота,Жан Сартр,320,248 ₽
123,Очарованный странник. Леди Макбет Мценского уезда,Николай Лесков,800,790 ₽
124,Портрет Дориана Грея,Оскар Уайльд,320,472 ₽
125,Тихий Дон,Михаил Шолохов,1328,1 042 ₽
126,Собор Парижской Богоматери,Виктор Мари Гюго,608,224 ₽
127,Сын Зевса. В глуби веков. Герой Саламина,Любовь Воронкова,1024,977 ₽
128,Дракула,Брэм Стокер,416,388 ₽
129,Чемодан,Сергей Довлатов,160,234 ₽
130,Под сенью сакуры,Сайкаку Ихара,384,206 ₽
131,Бойня №5,Курт Воннегут,224,224 ₽
132,Граф Монте-Кристо (комплект из 2 книг),Александр Дюма (отец),1536,1 445 ₽
133,Аня из Авонлеи,Люси Монтгомери,320,432 ₽
134,Письма к Милене,Франц Кафка,288,189 ₽
135,Тонкая психология. Юмористические рассказы,Надежда Тэффи,864,889 ₽
136,Время жить и время умирать,Эрих Ремарк,448,271 ₽
137,,,1232,977 ₽
138,О мышах и людях. Жемчужина,Джон Стейнбек,256,240 ₽
139,Сквозняк из прошлого,Владимир Набоков,224,464 ₽
140,Проклятые короли. Негоже лилиям прясть. Французская волчица,Морис Дрюон,672,892 ₽
141,Дракон,Евгений Шварц,352,266 ₽
142,Две жизни. Конкордия Антарова. Мистический роман с комментариями в четырех частях. Коллекционное оформление (комплект из 4 книг),Конкордия Антарова,,2 202 ₽
143,Гранатовый браслет,Александр Куприн,352,173 ₽
144,К востоку от Эдема,Джон Стейнбек,960,327 ₽
145,,,480,790 ₽
146,Тысячекрылый журавль,Ясунари Кавабата,256,216 ₽
147,На дне,Максим Горький,384,173 ₽
148,Война и мир (комплект из 2 книг),Лев Толстой,1408,368 ₽
149,Скотный Двор. Эссе,Джордж Оруэлл,256,216 ₽
150,Замок Броуди,Арчибальд Кронин,672,297 ₽
151,Своя комната,Вирджиния Вулф,224,165 ₽
152,,,448,600 ₽
153,Сиддхартха. Путешествие к земле Востока,Герман Гессе,224,240 ₽
154,Тени исчезают в полдень,Анатолий Иванов,736,848 ₽
155,Коллекционер,Джон Роберт Фаулз,416,450 ₽
156,Маленькие мужчины становятся взрослыми,Луиза Мэй Олкотт,416,180 ₽
157,Повесть о жизни,Константин Паустовский,1184,1 203 ₽
158,Возлюбленная,Томас Гарди,256,180 ₽
159,Анна Каренина: роман,Лев Толстой,864,231 ₽
160,Унесенные ветром. Том 1,Маргарет Митчелл,704,279 ₽
161,Цветы для Элджернона,Дэниел Киз,320,266 ₽
162,Портрет Дориана Грея,Оскар Уайльд,320,229 ₽
163,Преступление и наказание,Федор Достоевский,640,472 ₽
164,Анна Каренина,Лев Толстой,832,790 ₽
165,Вечер у Клэр. Ночные дороги,Гайто Газданов,832,758 ₽
166,,,448,367 ₽
167,Птицы. Не позже полуночи и другие истории,Дафна дю Морье,992,977 ₽
168,Бедная Лиза,Николай Карамзин,224,165 ₽
169,Источник (комплект из 2-х книг),Айн Рэнд,800,1 022 ₽
170,Остров Сахалин,Антон Чехов,512,198 ₽
171,Овод,Этель Войнич,352,206 ₽
172,Унесенные ветром,Маргарет Митчелл,1088,889 ₽
173,Дракула. Вечные истории,Брэм Стокер,512,512 ₽
174,Отверженные: роман,Виктор Мари Гюго,1248,1 223 ₽
175,"Трое в лодке, не считая собаки",Джером Клапка Джером,320,173 ₽
176,Маленькие мужчины,Луиза Мэй Олкотт,416,189 ₽
177,Финансист,Теодор Драйзер,736,231 ₽
178,,,,
179,Дар,Владимир Набоков,480,578 ₽
180,Слово о полку Игореве (с иллюстрациями Кориандр),,128,915 ₽
181,Грозовой перевал,Эмили Джейн Бронте,416,472 ₽
182,Мастер и Маргарита: Роман,Михаил Булгаков,480,184 ₽
183,Процесс,Франц Кафка,288,189 ₽
184,Колыбель для кошки: роман,Курт Воннегут,288,240 ₽
185,Бесы,Федор Достоевский,640,749 ₽
186,Ваш покорный слуга кот,Сосэки Нацумэ,480,556 ₽
187,Недоросль,Денис Фонвизин,288,173 ₽
188,Гордость и предубеждение,Джейн Остен,384,600 ₽
189,Преступление и наказание,Федор Достоевский,592,248 ₽
190,Гроздья гнева,Джон Стейнбек,608,297 ₽
191,Гамлет. Макбет,Уильям Шекспир,384,189 ₽
192,Подросток. Роман,Федор Достоевский,640,779 ₽
193,Золотой Храм,Юкио Мисима,288,214 ₽
194,Николка Персик. Аня в стране чудес,Владимир Набоков,416,578 ₽
195,Превращение,Франц Кафка,416,216 ₽
196,Маленький принц. Романы,Антуан де Сент-Экзюпери,256,192 ₽
197,"Человек, который смеется",Виктор Мари Гюго,704,231 ₽
198,Трагедии,Уильям Шекспир,768,813 ₽
199,Яма: роман,Александр Куприн,416,180 ₽
200,Удольфские тайны,Анна Радклиф,832,294 ₽
201,Унесенные ветром. Том 2,Маргарет Митчелл,704,279 ₽
202,Джейн Эйр,Шарлотта Бронте,640,575 ₽
203,Унесенные ветром. Том 1. Том 2 (комплект из 2 книг),Маргарет Митчелл,,1 302 ₽
204,Чума,Альбер Камю,384,271 ₽
205,Дом с привидениями,Вирджиния Вулф,192,165 ₽
206,Призрак Оперы,Гастон Леру,384,180 ₽
207,Ребекка,Дафна дю Морье,512,234 ₽
208,Письма Баламута. Баламут предлагает тост : сборник,Клайв Льюис,224,224 ₽
209,Цветы для Элджернона,Дэниел Киз,288,388 ₽
210,"Горбун, или Маленький Парижанин",Поль Анри Феваль,704,681 ₽
211,Доктор Живаго : роман,Борис Пастернак,704,231 ₽
212,Собор Парижской Богоматери,Виктор Мари Гюго,640,790 ₽
213,Падение дома Ашеров,Эдгар По,448,229 ₽
214,Алиса в Стране чудес. Алиса в Зазеркалье: сборник,Льюис Кэрролл,352,198 ₽
215,Осень патриарха,Габриэль Гарсиа Маркес,320,327 ₽
216,Темные аллеи,Иван Бунин,352,180 ₽
217,Поллианна. Поллианна вырастает,Элинор Портер,512,198 ₽
218,Защита Лужина,Владимир Набоков,288,481 ₽
219,,,576,248 ₽
220,Коллекционер,Джон Роберт Фаулз,400,257 ₽
221,Маленькие женщины,Луиза Мэй Олкотт,384,472 ₽
222,Старик и море. Зеленые холмы Африки (Новый Перевод),Эрнест Миллер Хемингуэй,384,264 ₽
223,Незнакомка из Уайлдфелл-Холла,Энн Бронте,592,660 ₽
224,Последний день приговоренного к смерти,Виктор Мари Гюго,320,165 ₽
225,Граф Монте-Кристо. Том 1. Том 2 (комплект из 2 книг),Александр Дюма (отец),,450 ₽
226,Братья Карамазовы,Федор Достоевский,832,790 ₽
227,Юность Розы,Луиза Мэй Олкотт,352,189 ₽
228,Ромео и Джульетта. Отелло: трагедиии,Уильям Шекспир,384,198 ₽
229,Бесы. Роман,Федор Достоевский,768,216 ₽
230,Трагедии,Уильям Шекспир,432,660 ₽
231,Дон Кихот,,544,220 ₽
232,Франкенштейн,Мэри Шелли,320,364 ₽
233,Чувство и чувствительность,Джейн Остен,352,346 ₽
234,Ложится мгла на старые ступени,Александр Чудаков,640,749 ₽
235,Братья Карамазовы,Федор Достоевский,992,256 ₽
236,,,448,558 ₽
237,Москва-Петушки: Поэма,Венедикт Ерофеев,192,205 ₽
238,Дядя Динамит. Время пить коктейли. Сэм Стремительный,Пелам Гренвилл Вудхаус,480,540 ₽
239,,,,
240,Приглашение на казнь,Владимир Набоков,256,481 ₽
241,Юмористические рассказы,Антон Чехов,640,248 ₽
242,Собор Парижской Богоматери,Виктор Мари Гюго,576,450 ₽
243,В стране водяных,Рюноскэ Акутагава,512,248 ₽
244,Анна Каренина,Лев Толстой,992,673 ₽
245,Судьба человека. Донские рассказы,Михаил Шолохов,448,231 ₽
246,Хорошие жены,Луиза Мэй Олкотт,384,180 ₽
247,Финансист,Теодор Драйзер,544,184 ₽
248,Черный обелиск,Эрих Ремарк,480,285 ₽
249,Человек в футляре. Избранное,Антон Чехов,960,724 ₽
250,На Западном фронте без перемен: роман,Эрих Ремарк,320,143 ₽
251,Цитадель,Арчибальд Кронин,512,790 ₽
252,Сто лет одиночества,Габриэль Гарсиа Маркес,416,670 ₽
253,451 градус по Фаренгейту,Рэй Брэдбери,288,474 ₽
254,1984,Джордж Оруэлл,352,768 ₽
255,Американская трагедия,Теодор Драйзер,1024,293 ₽
256,,,880,889 ₽
257,Ставок больше нет,Жан Сартр,160,198 ₽
258,Агнес Грей,Энн Бронте,256,173 ₽
259,Петербургские повести,Николай Гоголь,320,299 ₽
260,Китай,Эдвард Резерфорд,832,977 ₽
261,Игра в бисер,Герман Гессе,576,327 ₽
262,Финансист. Титан. Стоик,Теодор Драйзер,1216,977 ₽
263,Рождественские повести,Чарльз Диккенс,512,432 ₽
264,По ком звонит колокол,Эрнест Миллер Хемингуэй,704,311 ₽
265,Гордость и предубеждение,Джейн Остен,416,220 ₽
266,Три любви,Арчибальд Кронин,608,813 ₽
267,Унесенные ветром (комплект из 2 книг),Маргарет Митчелл,,516 ₽
268,Князь тьмы. Полная история Мастера и Маргариты,Михаил Булгаков,1120,1 123 ₽
269,Мертвые души,Николай Гоголь,320,200 ₽
270,Капитан Фракасс,Теофиль Готье,544,636 ₽
271,Архипелаг ГУЛАГ (комплект из 3 книг),Александр Солженицын,2048,644 ₽
272,Узорный покров,Уильям Сомерсет Моэм,352,256 ₽
273,Фауст,Иоганн Вольфганг фон Гёте,480,492 ₽
274,Ребекка,Дафна дю Морье,480,684 ₽
275,Гроздья гнева,Джон Стейнбек,608,735 ₽
276,12 стульев,Евгений Петров,448,189 ₽
277,Звезды смотрят вниз,Арчибальд Кронин,672,813 ₽
278,На Западном фронте без перемен,Эрих Ремарк,256,224 ₽
279,Что делать?: роман,Николай Чернышевский,736,790 ₽
280,Загадка Cтарого Леса,Дино Буццати,224,206 ₽
281,Испанский садовник. Древо Иуды,Арчибальд Кронин,544,790 ₽
282,Цветы для Элджернона,Дэниел Киз,320,450 ₽
283,Кармилла,Джозеф Ле Фаню,448,216 ₽
284,Маленькие женщины,Луиза Мэй Олкотт,384,472 ₽
285,Ярмарка тщеславия,Уильям Мейкпис Теккерей,960,279 ₽
286,Убить пересмешника,Харпер Ли,416,502 ₽
287,Мы живые,Айн Рэнд,474,729 ₽
288,Мартин Иден,Джек Лондон,496,618 ₽
289,Испанская дочь,Лорена Хьюс,480,576 ₽
290,Волшебная гора,Томас Манн,928,349 ₽
291,Учитель,Шарлотта Бронте,320,180 ₽
292,Три товарища,Эрих Ремарк,480,481 ₽
293,Дама с камелиями,Александр Дюма (отец),320,165 ₽
294,Коллекционер,Джон Роберт Фаулз,416,346 ₽
295,Повесть временных лет. Произведения древнерусской литературы в переводах Д.С. Лихачева,Дмитрий Лихачев,384,223 ₽
296,Цветы для Элджернона,Дэниел Киз,384,450 ₽
297,Великий Гэтсби,Френсис Скотт Фицджеральд,320,192 ₽
298,Мертвые души. Ревизор. Женитьба. Игроки,Николай Гоголь,608,684 ₽
299,Письмо незнакомки,Стефан Цвейг,480,388 ₽
300,Мастер и Маргарита,Михаил Булгаков,480,301 ₽
301,Слово о полку Игореве,,288,158 ₽
302,Петербургские трущобы : роман,Всеволод Крестовский,1312,1 076 ₽
303,,,,
304,Источник,Айн Рэнд,798,815 ₽
305,Портрет Лукреции. Роман,Мэгги О`Фаррелл,352,642 ₽
306,Роза и семь братьев,Луиза Мэй Олкотт,288,173 ₽
307,Старик и море. Зеленые холмы Африки: повести,Эрнест Миллер Хемингуэй,416,143 ₽
308,Идиот,Федор Достоевский,640,266 ₽
309,Цветы для Элджернона,Дэниел Киз,320,266 ₽
310,Отцы и дети,Иван Тургенев,480,229 ₽
311,Мемуары Дьявола: роман,Фредерик Сулье,1088,1 081 ₽
312,Мы,Евгений Замятин,384,210 ₽
313,Грозовой перевал,Эмили Джейн Бронте,384,210 ₽
314,Маленькие женщины,Луиза Мэй Олкотт,352,576 ₽
315,Вечера на хуторе близ Диканьки,Николай Гоголь,320,165 ₽
316,Униженные и оскорбленные,Федор Достоевский,512,180 ₽
317,Улисс (Комплект из 2 книг),Джеймс Джойс,1216,496 ₽
318,Золотой Храм,Юкио Мисима,832,892 ₽
319,Трактир «Ямайка». Моя кузина Рейчел. Козел отпущения: романы,Дафна дю Морье,896,977 ₽
320,Бедные люди: сборник,Федор Достоевский,352,173 ₽
321,,,384,175 ₽
322,Джейн Эйр,Шарлотта Бронте,608,618 ₽
323,Что делать?,Николай Чернышевский,576,198 ₽
324,Любовник леди Чаттерли,Дэвид Лоуренс,480,198 ₽
325,Иностранка,Сергей Довлатов,160,234 ₽
326,,,768,677 ₽
327,Госпожа Бовари,Гюстав Флобер,416,198 ₽
328,Виллет,Шарлотта Бронте,704,231 ₽
329,Дубровский,Александр Пушкин,288,210 ₽
330,,,448,492 ₽
331,Анна Каренина,Лев Толстой,800,284 ₽
332,Иуда Искариот,Леонид Андреев,448,206 ₽
333,Демиан,Герман Гессе,256,143 ₽
334,Гордость и предубеждение,Джейн Остен,416,408 ₽
335,Нортенгерское аббатство,Джейн Остен,320,180 ₽
336,Маленькая хозяйка Большого дома,Джек Лондон,383,198 ₽
337,Повесть о прекрасной Отикубо. Повесть о старике Такэтори,,384,198 ₽
338,,,384,224 ₽
339,1984,Джордж Оруэлл,352,168 ₽
340,Милый друг,Ги де Мопассан,416,198 ₽
341,Человек без свойств: роман,Роберт Музиль,1088,977 ₽
342,,,256,364 ₽
343,,,352,408 ₽
344,Ночная фиалка,Александр Куприн,288,432 ₽
345,Леди Макбет Мценского уезда,Николай Лесков,352,165 ₽
346,Три мушкетера,Александр Дюма (отец),736,790 ₽
347,Сага о Форсайтах,Джон Голсуорси,1376,1 223 ₽
348,Молот ведьм,Якоб Шпренгер,544,206 ₽
349,Осиная Фабрика,Иэн Бэнкс,256,231 ₽
350,Ворон. Полное собрание сочинений,Эдгар По,1152,1 223 ₽
351,Монах,Мэтью Грегори Льюис,416,408 ₽
352,Компромисс. Иностранка. Чемодан. Наши,Сергей Довлатов,704,848 ₽
353,Вспоминая моих несчастных шлюшек: повесть,Габриэль Гарсиа Маркес,160,264 ₽
354,,,448,200 ₽
355,Цитадель,Антуан де Сент-Экзюпери,544,231 ₽
